cityname,Article
New Delhi,"['The All India Institute of Medical Sciences (AIIMS) organised a public lecture — ‘Use Antibiotics with Caution’ — on the occasion of World Antibiotic Awareness Week.', 'Rise in mortality rate', 'Dr. Randeep Guleria, director of AIIMS, emphasised the impact of gross misuse of antibiotics by doctors and the public alike. He said, “With no prescriptions given by the doctors, people tend to pop antibiotics to even deal with common problems like cold, influenza, diarrhea, and throat infections. This leads to antibiotic resistance.”', '“Antibiotics are also used in poultry and farming. This also leads to entry of harmful antibiotics to the body, making humans resistant to them and increasing the mortality rate,” he added.', 'Rita Sood, HOD, Department of Medicines, said: “If one person gets afflicted by a resistant strain of bacteria, the chances of it spreading are very high. Antibiotics are a shared resource and therefore care should be taken to prevent overuse.”', 'The speakers suggested regulatory and policy decisions to control the rise in antibiotic resistance.']"
New Delhi,"['A petrol pump owner was shot at and robbed outside a bank as he approached it to deposit cash at south Delhi’s Malviya Nagar here on Tuesday morning.', 'Kamaljeet Singh Sethi, who owns a petrol pump in Lado Sarai, was walking towards the bank to deposit around Rs. 15 lakh when he was attacked, the police quoted him as saying.', 'According to the police, Mr. Sethi claimed no onlookers came to his aid and the bank’s security guard was in the restroom at the time of the incident. However, an auto-rickshaw driver who was present at the location attempted to come to his aid but was assaulted by the accused as they fled.', 'CCTV footage', 'The police said the entire incident has been captured on CCTV cameras.', 'Mr. Sethi is undergoing treatment at a hospital. The police said, prima facie there were three attackers trailing Mr. Sethi from Lado Sarai.', '', '']"
New Delhi,"['The installation of 1.40 lakh CCTV cameras in markets and residential colonies across the city will begin most likely by April 2018, Public Works Department (PWD) Minister Satyendar Jain said on Tuesday.', 'After floating the tender for the project on November 1, the PWD held a pre-bid meeting last week. The government will take submissions till November 21, after which bids will be opened. Mr. Jain said it will take about a month or two for the work to be awarded after all bids ar in and another month or two for the installation to start.', '“By April or May, we are expecting work on 1.40 lakh CCTV cameras to start. There will be 2,000 cameras per Assembly constituency,” he said.', 'Local servers', 'The project will cover all residents’ welfare associations (RWAs) and market associations in Delhi, with each RWA or market association having 30 to 40 cameras. Apart from local servers of these associations, video feeds will also be fed into a central command centre. Mr. Jain said 1.40 lakh cameras will be installed in the first phase of the project. The AAP had promised installation of 15 lakh cameras in Delhi in its 2015 election manifesto.']"
New Delhi,"['A woman, in her 70s was found murdered at her south Delhi residence in Savitri Nagar on Tuesday morning.', 'House ransacked', 'Chandramukhi Gulia’s body was found on the floor. Her limbs were tied, her mouth gagged and the house had been ransacked, the police said. The body was found by her son Kuldeep, a yoga teacher who lives on the third floor of the same building. “She would call Kuldeep daily but did not call on Tuesday. When she did not respond to his calls, he went to check on her,” the police said.', 'The ground floor of the building houses a shop, while the second floor is locked up. The police are probing all angles, including enmity, property dispute and robbery. The items and cash looted are yet to be determined. “Three of her five children live abroad. One daughter lives in Haryana. Prima facie it appears that she was strangled,” the police added.']"
New Delhi,"['The BJP’s Delhi unit on Tuesday accused the Aam Aadmi Party (AAP) government of failing to act on environment protection despite having “ample” resources, and asked it to share details of spending of the environmental cess.', 'Delhi BJP chief Manoj Tiwari said that the Delhi government collected Rs. 775 crore as environmental cess in the last three years. “This year when the people are suffering badly and Rs. 775 crore lies at its disposal, the Kejriwal-led government has not found it worth spending on improving the environment,” he said.']"
New Delhi,"['Terming the air quality in the Capital as ‘poor and unsafe’, the Indian Medical Association (IMA) on Tuesday urged the Delhi High Court to pass directions to postpone the Delhi Half Marathon, which is scheduled to be held on November 19', 'The court issued notices to the Delhi government, pollution control panel and the organisers of the event and sought their reply by November 16, the next date of hearing.', 'The organisers said they will present their case with “full facts” and hoped the court will give a verdict in their favour.']"
New Delhi,"['The Delhi Health Department has written to the CBSE and the Education Department stating that “accreditation/recognition of a school should be withdrawn if it is not following guidelines and rules for tobacco-free schools”, apart from “legal action as per Cigarette & Other Tobacco Products Act [COTPA] 2003”.', 'School guidelines', 'The letter notes that in a series of communications over the past four to five years “we have requested repeatedly for adopting tobacco-free school guidelines in all schools of Delhi and implement the various provisions of the COTPA and Delhi Prohibition of Smoking and Non-Smoker’s Health protection Act, 1996.', 'The provisions include one nodal officer, display of mandatory tobacco-free zone board and no smoking signage, along with contact details of nodal officers as per specifications, ensuring prohibition of tobacco sale within 100 metre radius of education institute, constitution of tobacco-free school committee, and , special awareness programmes on the last day of every month.', 'As per government figures, 14.1% students up to the age of 15 currently use tobacco products.']"
New Delhi,"['The CBI on Tuesday submitted in a sealed cover in the Delhi High Court its status report on its probe into the disappearance of JNU student Najeeb Ahmed.', '', 'The CBI, which refused to give a copy of the report to the counsel for Najeeb’s mother citing leakage of contents in the media, showed the details to the complainant’s advocate for his perusal inside the court.', 'The next date of hearing is December 21.', 'The CBI is believed to have said that the auto driver, who the Delhi Police claimed dropped Najeeb at Jamia Millia Islamia, has retracted his statement.']"
New Delhi,"['Arvind Kejriwal', 'Vending machines and doorstep delivery of rations for beneficiaries of the public distribution system (PDS) are being considered by the Delhi government, as per a statement on Tuesday.', 'Vending machines', 'At a meeting to review the functioning of the PDS, Delhi Chief Minister Arvind Kejriwal was given a demonstration of ration vending machines and biometric-enabled tablets that will be given to ration shops. The tablets will be used to recognise the beneficiary and then send a command to the vending machine to dispense the rations.', '', 'Mr. Kejriwal also asked the Food and Civil Supplies Department to consider doorstep delivery of rations to beneficiaries.']"
New Delhi,"['', '', 'The Delhi High Court on Tuesday refused to interfere with the Delhi Metro’s decision to increase mass rapid transit fares by 100%.', 'A Bench of Acting Chief Justice Gita Mittal and Justice C. Hari Shankar also observed that this was a policy decision and the court would not like to step into it.PTI']"
New Delhi,"['', '', 'Pratishtha Deveshwar (19) is a first year student of Political Science (Hons.) at Delhi University’s Lady Shri Ram College. Six years ago, she met with an accident and damaged her spinal cord, and was left paraplegic. She is one of 65 students who recently attended a convention organised by Javed Abidi, director of the NCPEDP.']"
New Delhi,"['‘', '', '', '', 'The Delhi High Court on Tuesday asked the Delhi government to consider making the punishment for snatching more stringent to deal with this “serious problem” in the Capital.']"
New Delhi,"['', '', '', 'The Delhi High Court on Tuesday asked the Delhi government to evolve a policy to check the age proof of consumers at bars, pubs, liquor vends, and food beverage outlets selling alcohol. The court was hearing a plea filed by NGO CADD.', '']"
Mumbai,"['Sold(from top) Ronak Afroz restaurant, now called Delhi Zaika, Shabnam Guest House and Damarwala Building.Emmanual Yogini', 'Three properties, said to belong to Dawood Ibrahim Kaskar, a designated global terrorist and prime accused in the 1993 Mumbai blasts, were sold to the Saifee Burhani Upliftment Trust (SBUT) on Tuesday in an auction organised by the Union Finance Ministry. The auction was held under the norms mandated by the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act (SAFEMA).', 'The SBUT paid Rs. 4.53 crore for Hotel Ronak Afroz, also known as Delhi Zaika, Rs. 3 crore for Shabnam Guest House and Rs. 3.53 crore for six rooms in Damarwala building in the auction held at the Indian Merchants’ Chamber. The properties are located where SBUT is executing a major cluster redevelopment project. The total reserve price was pegged at Rs. 3.95 crore, and SBUT paid nearly three times at Rs. 11.06 crore.', 'This is the second auction in two years of the properties, attached by the Union government after the 1993 Mumbai blasts that claimed more than 250 lives and injured over 700. An SBUT spokesperson said, “These buildings are dilapidated. We acquired these properties to ensure safety of the families living in them, and to continue with the redevelopment project.”', 'A senior Central Revenue Intelligence officer, who declined to be named, said the earlier bids failed due to vested interests. Such auctions to sell tainted assets face challenges, he said, including risk of reprisal by the underworld to the buyer. Also, problems with the title deed are not resolved by the government body.', 'To thwart efforts to subvert the auction process, the government had increased the quantum of caution money to be deposited by nearly six times to Rs. 1 lakh for the three properties, with a threat of forfeiture if bidders were found to be trying to derail the auction process.']"
Mumbai,"['Brazen act:In clear violation of the law, a vendor selling cigarette, paan, and gutka nearK.C. College.Arunangsu Roy Chowdhury', 'With children being easy targets to the appeal of tobacco products, all police stations will now be instructed to monitor and report violations of anti-tobacco law and sale of these products to minors.', 'Minister of State for Home and Urban Development Ranjit Patil made the assurance on Tuesday, celebrated as Children’s Day. “There are many laws in Maharashtra to prevent children from consuming tobacco in any form. We have the Cigarettes and Other Tobacco Products Act, 2003, (COTPA) and the Juvenile Justice Act. Both these laws will be implemented strictly by the police to ensure a safe future for the children,” Dr. Patil said at a programme organised by the Tata Memorial Hospital and Sambandh Health Foundation.', '“We will hold a meeting with all police officers, where they will be guided on the process of tobacco control. A review on the progress made under COTPA will also be taken,” said Dr. Patil.', 'He said the status of the tobacco control work will be included in the monthly crime analysis. Dr. Patil also plans to start a helpline where people can anonymously report unauthorised sale and consumption of tobacco in restricted areas.', 'Restricted areas', 'He expressed concern that tobacco products are sold near educational institutions despite their sale being prohibited within 100 yards of the premises. “A radius of 100 yards is not enough. We need stricter measures to stop their sale,” Dr. Patil said.', 'Experts say that adolescents are most vulnerable to start tobacco use; most adult tobacco users start the habit in childhood or adolescence. In 2002, an article titled ‘Tobacco use by Indian adolescents’ in an international journal said that tobacco companies were aggressively targeting developing countries like India through their advertising strategies.', 'It said, “Adolescents often get attracted to tobacco products because of such propaganda. There has been a rapid increase in trade and use of smokeless tobacco products in recent years in the country, which is a matter of serious concern to the health planners. It is important to understand various factors that influence and encourage young teenagers to start smoking or to use other tobacco products.”', 'Tata Memorial Hospital director Rajendra Badwe said every fifth child in the State consumes tobacco in some form. “Of all the cancer patients that come to the hospital, 30% are under the age of 30,” Dr. Badwe said.', 'The hospital’s head and neck surgeon, Pankaj Chaturvedi, a vocal anti-tobacco activist, said the minister’s acknowledgement of the problem was a positive step. “Dr. Patil comes from a medical background and he has closely seen the harm tobacco does. He has rightly said that steps need to be taken to protect our future generation from the effects of tobacco,” Dr. Chaturvedi said.', 'Low compliance', 'According to Dr. Chaturvedi, 80% shops that sell tobacco products are near educational institutions. “The law enforcers give priority to other crimes, while this violation is dealt with more through moral policing. However, now the Juvenile Justice Act makes selling of tobacco to children a criminal offence,” he said.', 'He added that compliance with law has been low so far, but the government could change this.', 'What the law says', 'Section 77 of the Juvenile Justice Act says that it is an offence against a child if a person gives, or causes to be given to any child, any intoxicating liquor or any narcotic drug or tobacco products or psychotropic substance, except on the order of a duly qualified medical practitioner. The offence is punishable with rigorous imprisonment up to seven years and a fine up to Rs. 1 lakh. Section 78 deals with using minors for labour in places selling tobacco.']"
Mumbai,"['The inspection report submitted before the two-judge committee on Metro 3, which was appointed by the Bombay High Court, said 30-35% of the transplanted trees are nearly dead, and that there are still 839 trees to be transplanted.', 'The report prepared by a junior committee consisting of two officers of the Maharashtra State Legal Services Authority, pointed out that 2,439 trees should have been planted till date, but not even a few hundred trees have been planted.', 'The petitioners have contended that the Mumbai Metro Rail Corporation Ltd (MMRCL) is taking proper care to prevent unnecessary hacking of trees, but the authorities are not taking enough care to transplant them as only 65-70% trees have shown sprouting of leaves.', 'Justice Shantanu Kemkar and Justice B.R. Gavai directed the MMRCL to give a detailed plan on where they propose to plant/transplant trees.', 'The judges also asked the petitioners to give details of other spaces where trees could be planted.', 'Revisit sample stations', 'The judges directed the junior committee to revisit two sample stations to investigate the grievances.', 'They also told the committee to consider planting trees on the High Court premises and the Marine Drive.', 'They asked the authorities to consider whether the Gujarat/Singapore/Hong Kong transplantation models could be replicated.']"
Mumbai,"['The State government has put in a place a new monitoring mechanism to ensure local bodies set aside the mandatory 3% of their funds for persons with disabilities. The move comes after complaints that money meant for welfare of the physically challenged has been diverted for other purposes.', 'Senior government officers said the decision is in line with the Rights of Persons with Disabilities Bill, 2016, which mandates local bodies to earmark funds for schemes meant for them. Navnath Wath, Under Secretary, Urban Development Department, said, “Section 40 of the new Act mandates funds for schemes meant for the physically challenged in urban areas. It has come to our notice that this money is being used for other purposes by the corporations. The Chief Minister himself has taken note of this in a meeting in October, and issued guidelines for monitoring this money.”', 'Political will lacking', 'The Rights of Persons with Disabilities Bill was passed by Parliament in 2016. The Lok Sabha subsequently passed The Rights of Persons with Disabilities Bill - 2016. The Bill replaced the existing PwD Act, 1995, enacted 21 years ago.', 'Disability rights activists pointed to the lack of political will in tackling the issue. The disability rights movement had been dealt a harsh hand with GST being levied on aids and appliances for people with disabilities. Kamayani Mahabal, a leading human rights lawyer, said, “What we need to know is where the money was spent. Or did it lapse? I also wonder if it was a diversion to stop disability activists from protesting against the GST issue. The GST levy has been a regressive step. It is in clear contradiction to the provisions envisaged under the newly enacted law, which provides for equal rights, opportunities and non-discrimination.”', 'Under guidelines issued by the State government, it is binding on municipalities to use funds for intended purposes. “This fund cannot lapse, which would mean it becomes mandatory to spend it in the given period for the given purpose,” a UDD officer said. The government has directed that an IAS officer be appointed to monitor the disability fund. “Every Municipal Commissioner must assess the availability of funds in the month leading up to the budget, and prepare a micro plan for the same,” the guidelines say.']"
